trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units
10021579,Kab-Ash Trail,Voyageurs National Park,Orr,Minnesota,United States,"{'lat': 48.38966, 'lng': -92.92133}",2.3172,24461.968,406.908,1,out and back,2,3,5,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'paddle-sports', 'walking', 'canoeing']",i
10235887,Grinnell Lake Trail,Glacier National Park,Babb,Montana,United States,"{'lat': 48.79602, 'lng': -113.65711}",21.0703,11426.314,106.9848,1,loop,2,4.5,174,"['dogs-no', 'forest', 'lake', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",i
10274946,Redrock Falls via Swiftcurrent Pass,Glacier National Park,Babb,Montana,United States,"{'lat': 48.79767, 'lng': -113.67863}",19.4428,5793.624,71.9328,1,out and back,3,4.5,179,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10235872,Swiftcurrent Nature Trail,Glacier National Park,Babb,Montana,United States,"{'lat': 48.79725, 'lng': -113.66842}",13.565,4184.284,38.7096,1,loop,2,4,81,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i
10041288,Rainbow Falls Trail,Glacier National Park,Babb,Montana,United States,"{'lat': 48.95784, 'lng': -113.89222}",11.8022,3057.746,29.8704,1,out and back,2,4,9,"['dogs-no', 'lake', 'kids', 'river', 'waterfall', 'wildlife']","['hiking', 'nature-trips', 'walking']",i
10349003,Swiftcurrent Pass Loop,Glacier National Park,Babb,Montana,United States,"{'lat': 48.7976, 'lng': -113.6778}",7.4135,1770.274,11.8872,1,loop,1,4,13,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'waterfall', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10039709,Kootenai Lakes Trail,Glacier National Park,Babb,Montana,United States,"{'lat': 48.95776, 'lng': -113.89217}",6.3709,8851.37,110.9472,1,out and back,1,4,8,"['dogs-no', 'forest', 'lake', 'kids', 'river', 'views', 'wildlife']","['fishing', 'hiking', 'nature-trips', 'walking']",i
10407695,Clark's Fork Canyon West End Trail,Yellowstone National Park,Cody,Wyoming,United States,"{'lat': 44.88282, 'lng': -109.65128}",2.2643,9173.238,157.8864,1,out and back,2,4,3,"['dogs', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'horseback-riding']",i
10338879,Miller Woods Trail,Indiana Dunes National Park,Gary,Indiana,United States,"{'lat': 41.60671, 'lng': -87.26868}",5.8174,6115.492,40.8432,1,out and back,1,4.5,29,"['beach', 'lake', 'views', 'wildlife']","['hiking', 'nature-trips', 'walking']",i
10028926,Seven Sacred Pools Trail ('Ohe'o Gulch),Haleakala National Park,Hana,Maui,Hawaii,"{'lat': 20.662, 'lng': -156.04514}",19.7384,965.604,32.9184,1,loop,3,4,201,"['dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",m
10291879,Zumwalt Meadow Loop Trail,Kings Canyon National Park,Hume,California,United States,"{'lat': 36.79375, 'lng': -118.59833}",14.082,2414.01,40.8432,1,loop,2,4.5,100,"['dogs-no', 'forest', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i
10037327,Road's End to the Bailey Bridge,Kings Canyon National Park,Hume,California,United States,"{'lat': 36.79439, 'lng': -118.58391}",10.7981,7081.096,63.7032,1,loop,,4.5,42,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
